CMU,P,B,T,D,K,G,M,N,NG,F,V,TH,DH,S,Z,SH,ZH,HH,CH,JH,R,Y,W,L,IY,IH,EY,EH,AE,AH,UW,UH,OW,AO,AA,AY,OY,AW
R,0.005820770086727744,0.005820770086727744,0.1504169039295383,0.1504169039295383,0.0029165707783833546,0.0029165707783833546,0.296859274423115,0.4424885620451466,0.315437390764857,0.024469666533656897,0.024469666533656897,0.045952369321014576,0.045952369321014576,0.15776980133548335,0.15776980133548335,0.045952369321014576,0.045952369321014576,0.0015257878398773838,0.045952369321014576,0.045952369321014576,1.0000000000000002,0.5783018830689047,0.5570650186712207,0.8501188324387695,0.33449119021178736,0.3351169927985846,0.3351169927985846,0.3351169927985846,0.3348036528583534,0.33574632103892443,0.33449119021178736,0.33543121414544,0.3351169927985846,0.3351169927985846,0.33449119021178736,0.33543121414544,0.3351169927985846,0.33574632103892443
Y,0.0,0.0,0.022759601706970136,0.022759601706970136,0.04332390734351717,0.04332390734351717,0.28348866862094585,0.3072546230440968,0.4310099573257469,0.0007448405756312698,0.0007448405756312698,0.0029840211987290006,0.0029840211987290006,0.023872169589832,0.023872169589832,0.044760317980935,0.044760317980935,0.037155183668148545,0.044760317980935,0.044760317980935,0.5783018830689047,1.0000000000000002,0.8955974944291005,0.381954713437312,0.3258141474949839,0.32642371612424553,0.32642371612424553,0.32642371612424553,0.3261185045417284,0.32703671894800007,0.3258141474949839,0.3267297862487998,0.32642371612424553,0.32642371612424553,0.3258141474949839,0.3267297862487998,0.32642371612424553,0.32703671894800007
W,0.0,0.0,0.002840911956951946,0.002840911956951946,0.14893617021276598,0.14893617021276598,0.28308627144348986,0.2869321076521464,0.3274151030387117,0.0,0.0,0.0007449463845996134,0.0007449463845996134,0.0029797855383984534,0.0029797855383984534,0.023838284307187624,0.023838284307187624,0.07568898545251991,0.023838284307187624,0.023838284307187624,0.5570650186712207,0.8955974944291005,0.9999999999999999,0.36055405014621283,0.32535167153795536,0.3259603749167748,0.3259603749167748,0.3259603749167748,0.325655596565963,0.3265725076154296,0.32535167153795536,0.3262660105909687,0.3259603749167748,0.3259603749167748,0.32535167153795536,0.3262660105909687,0.3259603749167748,0.3265725076154296
L,0.005946931463253473,0.005946931463253473,0.15367709173454353,0.15367709173454353,0.0029797855383984534,0.0029797855383984534,0.303293504625927,0.4520792116074436,0.322274289462732,0.025000030517634008,0.025000030517634008,0.04694835680751175,0.04694835680751175,0.161189358372457,0.161189358372457,0.04694835680751175,0.04694835680751175,0.0015588582912604524,0.04694835680751175,0.04694835680751175,0.8501188324387695,0.381954713437312,0.36055405014621283,1.0000000000000002,0.3417410675242534,0.34238043397195,0.34238043397195,0.34238043397195,0.34206030259388653,0.3430234024894189,0.3417410675242534,0.34270146586054856,0.34238043397195,0.34238043397195,0.3417410675242534,0.34270146586054856,0.34238043397195,0.3430234024894189
IY,0.0,0.0,0.0,0.0,0.0,0.0,0.32466163540264337,0.3258141474949839,0.3258141474949839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33449119021178736,0.3258141474949839,0.32535167153795536,0.3417410675242534,1.0000000000000002,0.9196277747027305,0.8785062075412261,0.8747678832538167,0.8739499607904826,0.7528142687995962,0.8731343283582091,0.7932678571568209,0.751403181769304,0.7476648574818946,0.7462686567164181,0.8568789589099622,0.8336463160923125,0.7940130596294248
IH,0.0,0.0,0.0,0.0,0.0,0.0,0.32526904778662924,0.32642371612424553,0.32642371612424553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3351169927985846,0.32642371612424553,0.3259603749167748,0.34238043397195,0.9196277747027305,0.9999999999999999,0.906367041198502,0.8764044943820225,0.8755850416601693,0.754222715809798,0.7925247489308084,0.873477422038164,0.7790262172284644,0.749063670411985,0.7476648574818946,0.8978448179319324,0.8745318352059924,0.8348982799387069
EY,0.0,0.0,0.0,0.0,0.0,0.0,0.32526904778662924,0.32642371612424553,0.32642371612424553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3351169927985846,0.32642371612424553,0.3259603749167748,0.34238043397195,0.8785062075412261,0.906367041198502,0.9999999999999999,0.8782771535580524,0.8765204957645071,0.7560988917197726,0.751403181769304,0.7797566686005923,0.8726591760299623,0.7509363295880148,0.7476648574818946,0.8519216487475223,0.8286516853932584,0.7889319701443287
EH,0.0,0.0,0.0,0.0,0.0,0.0,0.32526904778662924,0.32642371612424553,0.32642371612424553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3351169927985846,0.32642371612424553,0.3259603749167748,0.34238043397195,0.8747678832538167,0.8764044943820225,0.8782771535580524,0.9999999999999999,0.9597759110505703,0.8780503258681231,0.7476648574818946,0.7497660275005698,0.7509363295880148,0.8726591760299623,0.7925247489308084,0.8978448179319324,0.8745318352059924,0.8348982799387069
AE,0.0,0.0,0.0,0.0,0.0,0.0,0.32496491583813747,0.3261185045417284,0.3261185045417284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3348036528583534,0.3261185045417284,0.325655596565963,0.34206030259388653,0.8739499607904826,0.8755850416601693,0.8765204957645071,0.9597759110505703,1.0000000000000004,0.8378664795238333,0.7469657784534038,0.749064983843301,0.749298737574568,0.8325541528606312,0.8328668429755453,0.8970053181523528,0.8737141334514937,0.8341176362150018
AH,0.0,0.0,0.0,0.0,0.0,0.0,0.3258798822172294,0.32703671894800007,0.32703671894800007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33574632103892443,0.32703671894800007,0.3265725076154296,0.3430234024894189,0.7528142687995962,0.754222715809798,0.7560988917197726,0.8780503258681231,0.8378664795238333,0.9999999999999998,0.7528142687995962,0.7887327420630457,0.7560988917197726,0.8780503258681231,0.7977584042503183,0.830047314266348,0.8161365208389606,0.8439849624060152
UW,0.0,0.0,0.0,0.0,0.0,0.0,0.32466163540264337,0.3258141474949839,0.3258141474949839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33449119021178736,0.3258141474949839,0.32535167153795536,0.3417410675242534,0.8731343283582091,0.7925247489308084,0.751403181769304,0.7476648574818946,0.7469657784534038,0.7528142687995962,1.0000000000000002,0.8306861523057275,0.8785062075412261,0.8747678832538167,0.8731343283582091,0.770816880067477,0.8336463160923125,0.7940130596294248
UH,0.0,0.0,0.0,0.0,0.0,0.0,0.3255740352402118,0.3267297862487998,0.3267297862487998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33543121414544,0.3267297862487998,0.3262660105909687,0.34270146586054856,0.7932678571568209,0.873477422038164,0.7797566686005923,0.7497660275005698,0.749064983843301,0.7887327420630457,0.8306861523057275,1.0000000000000004,0.8172449699756208,0.7872543288755982,0.7857841981270396,0.8133208255159478,0.8341147055943839,0.8760567242200257
OW,0.0,0.0,0.0,0.0,0.0,0.0,0.32526904778662924,0.32642371612424553,0.32642371612424553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3351169927985846,0.32642371612424553,0.3259603749167748,0.34238043397195,0.751403181769304,0.7790262172284644,0.8726591760299623,0.7509363295880148,0.749298737574568,0.7560988917197726,0.8785062075412261,0.8172449699756208,0.9999999999999999,0.8782771535580524,0.8747678832538167,0.7656985555849568,0.8286516853932584,0.7889319701443287
AO,0.0,0.0,0.0,0.0,0.0,0.0,0.32526904778662924,0.32642371612424553,0.32642371612424553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3351169927985846,0.32642371612424553,0.3259603749167748,0.34238043397195,0.7476648574818946,0.749063670411985,0.7509363295880148,0.8726591760299623,0.8325541528606312,0.8780503258681231,0.8747678832538167,0.7872543288755982,0.8782771535580524,0.9999999999999999,0.9196277747027305,0.8116217247693669,0.8745318352059924,0.8348982799387069
AA,0.0,0.0,0.0,0.0,0.0,0.0,0.32466163540264337,0.3258141474949839,0.3258141474949839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33449119021178736,0.3258141474949839,0.32535167153795536,0.3417410675242534,0.7462686567164181,0.7476648574818946,0.7476648574818946,0.7925247489308084,0.8328668429755453,0.7977584042503183,0.8731343283582091,0.7857841981270396,0.8747678832538167,0.9196277747027305,1.0000000000000002,0.770816880067477,0.8336463160923125,0.7940130596294248
AY,0.0,0.0,0.0,0.0,0.0,0.0,0.3255740352402118,0.3267297862487998,0.3267297862487998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33543121414544,0.3267297862487998,0.3262660105909687,0.34270146586054856,0.8568789589099622,0.8978448179319324,0.8519216487475223,0.8978448179319324,0.8970053181523528,0.830047314266348,0.770816880067477,0.8133208255159478,0.7656985555849568,0.8116217247693669,0.770816880067477,1.0000000000000004,0.9372075343757125,0.9370896149749042
OY,0.0,0.0,0.0,0.0,0.0,0.0,0.32526904778662924,0.32642371612424553,0.32642371612424553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3351169927985846,0.32642371612424553,0.3259603749167748,0.34238043397195,0.8336463160923125,0.8745318352059924,0.8286516853932584,0.8745318352059924,0.8737141334514937,0.8161365208389606,0.8336463160923125,0.8341147055943839,0.8286516853932584,0.8745318352059924,0.8336463160923125,0.9372075343757125,0.9999999999999999,0.874297974048174
AW,0.0,0.0,0.0,0.0,0.0,0.0,0.3258798822172294,0.32703671894800007,0.32703671894800007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33574632103892443,0.32703671894800007,0.3265725076154296,0.3430234024894189,0.7940130596294248,0.8348982799387069,0.7889319701443287,0.8348982799387069,0.8341176362150018,0.8439849624060152,0.7940130596294248,0.8760567242200257,0.7889319701443287,0.8348982799387069,0.7940130596294248,0.9370896149749042,0.874297974048174,0.9999999999999998
