Item,I_Mean_RT,Log_Frequency,Degree,Clustering Coefficient,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
rash,662.09,2.0844290831908747,10,0.6222222222222222,1.0416419262919097e-05,0.012395741030780083,9.713180433957219e-17
rasp,817.81,-2.3025850929940455,5,0.3,7.712851743311382e-06,0.011747504477706429,1.3664587910869124e-17
rate,578.64,3.2156706939192525,16,0.35,2.0308608078107323e-05,0.013601366768340782,2.5800378307962884e-17
rave,564.12,0.9282193027394288,15,0.3523809523809524,1.3966777156654654e-05,0.013668139321651588,3.802514577366593e-17
raze,803.68,-1.8325814637483102,13,0.46153846153846156,3.3812241273485086e-06,0.013313611436044339,2.6322746031130554e-17
read,547.58,5.485709380155097,10,0.26666666666666666,2.7296990911566228e-05,0.013782963174338731,7.24306454359823e-18
real,630.88,6.093118200834482,12,0.4090909090909091,1.5196751239673994e-05,0.013309754095341443,5.876638331463559e-17
ream,760.43,-1.5141277326297755,8,0.32142857142857145,1.9391950759196257e-05,0.01322545451563869,1.8356469729888774e-17
reap,776.67,0.9516578757114463,6,0.4666666666666667,1.4522381019057318e-06,0.012515629004242199,1.4828527616306702e-17
puff,645.23,1.4929040961781488,3,1.0,0.0,0.00018029184742802411,-9.611216289535283e-19
puke,639.57,1.8325814637483102,5,0.2,7.188322995777667e-06,0.012808759587361213,5.827518643356995e-18
pull,646.45,4.986684073273742,12,0.36363636363636365,5.045603347696159e-05,0.014048506501550762,5.0030249899375e-17
pulp,587.24,0.598836501088704,3,0.0,2.6730339675251617e-05,0.01195073263789568,8.180872735301977e-18
pump,610.36,2.5376572151735295,9,0.4444444444444444,2.2995045118940518e-05,0.01092735876785704,-4.608023464612194e-18
punk,605.41,3.090132948975475,8,0.39285714285714285,9.140600884656531e-06,0.012686720867183374,2.537475016936085e-17
punt,725.41,-0.31471074483970024,9,0.2222222222222222,2.5635394256852505e-05,0.013814047890564124,7.851198599734464e-18
puny,729.36,0.371563556432483,3,0.3333333333333333,4.189078907282023e-06,0.012060545093218952,5.42295257489866e-18
pure,530.5,3.2156706939192525,10,0.2222222222222222,3.219868228784597e-05,0.014320017537428613,1.6849225530828148e-17
purr,693.73,-0.2744368457017603,3,0.3333333333333333,1.6197386234000833e-06,0.012436008733099888,4.654872289578679e-18
push,522.32,4.256321678298823,5,1.0,0.0,0.011288516097818158,2.3048682485171442e-17
putt,691.86,0.131028262406404,2,0.0,5.293180396907295e-07,0.011704106053521273,5.782925388429026e-18
pyre,833.07,-1.2378743560016174,3,1.0,0.0,0.013965227621240611,1.2479179050068385e-17
quip,867.83,-1.9661128563728327,2,1.0,0.0,0.008646455159057216,9.945987436869695e-19
quit,612.18,4.500920164614292,3,0.3333333333333333,1.6190000667028027e-05,0.009825391136791999,-4.16483628834134e-19
quiz,658.16,1.5973653311998313,2,1.0,0.0,0.008646455159057216,7.757944192696268e-19
prop,748.53,1.3056264580524357,6,0.13333333333333333,3.190837763273127e-05,0.01174149936359642,-2.4881260470882852e-18
prow,840.25,-2.120263536200091,6,0.26666666666666666,4.124290200984772e-06,0.010383954850829791,-3.498132711841128e-18
prep,667.32,2.0215475632609334,3,0.0,2.939089457184135e-05,0.011731005173664707,-2.4109505858264676e-18
prey,591.63,1.706564623164823,2,0.0,5.821421252037947e-06,0.010448906234520867,9.214581843444048e-19
prim,671.91,-0.9942522733438669,5,0.3,1.0084787973706364e-05,0.00961360599771288,-1.0830768074504478e-17
prod,793.69,-0.37106368139083207,3,0.3333333333333333,7.793006229570281e-07,0.010300138174903809,1.065758328376182e-18
poor,588.12,4.860432367183761,5,0.3,1.0946802035018541e-05,0.012895050178265543,7.710755884841503e-18
pope,644.26,2.3711778844596574,10,0.35555555555555557,1.2530560066250738e-05,0.01427108302580646,1.739625225544596e-17
pore,747.23,-0.7550225842780328,16,0.25833333333333336,8.118660502492897e-05,0.015797323335650273,-1.0576741938764505e-18
pork,603.28,2.354228326145884,7,0.23809523809523808,3.937002908598468e-05,0.014983240789325178,-8.867702912812451e-18
port,647.18,2.6762154775821916,9,0.16666666666666666,8.275691247670179e-05,0.01543117778302687,2.7502895221840416e-17
pose,711.73,1.916922612182061,10,0.35555555555555557,4.243629765489712e-05,0.014700357203222719,5.1269148054585334e-18
post,612.27,3.4790839203192268,9,0.19444444444444445,7.058621680135303e-05,0.015000364493084407,-2.0799454774104554e-18
pour,607.88,2.716018370751387,8,0.5357142857142857,2.7991824304758112e-05,0.01275541198391531,1.290963329765667e-18
pout,872.13,0.0769610411361284,6,0.26666666666666666,7.951924269088393e-05,0.014014220945720255,-2.8898172748041515e-19
pram,909.5,-1.5141277326297755,5,0.3,9.224766797899509e-06,0.010158915581616763,1.8557987152180623e-18
pray,623.63,3.589611452455267,7,0.2857142857142857,1.7633427324933135e-05,0.010652432755958492,-1.535179740931805e-17
play,537.91,5.870792968625717,5,0.2,1.2351511491164056e-05,0.010816721511672003,-2.0735847027897186e-18
plea,664.13,1.922787731634459,1,0.0,0.0,0.007919768340672527,3.375646863754493e-19
plod,740.81,-2.3025850929940455,5,0.3,2.7614805600127283e-06,0.010517082477122481,-7.478858444573797e-19
plop,660.31,-0.1743533871447778,6,0.26666666666666666,9.177769757439491e-06,0.011036304206623661,2.326180129930035e-18
plot,623.21,2.4501426573516603,7,0.2857142857142857,1.9155018573403963e-05,0.011895032692923612,5.215133723189773e-18
plow,587.82,0.6312717768418578,8,0.32142857142857145,3.7137420570883126e-06,0.010552111234655102,-1.0651333975519433e-18
plug,609.44,2.3427668826268775,3,0.3333333333333333,1.6583584929063242e-07,0.008687332878228251,3.9542481957016047e-19
plum,655.54,1.2267122912954254,5,0.4,1.3176254602623796e-05,0.009833804187107137,4.494175867149978e-18
plus,585.44,3.8509983035903717,2,1.0,0.0,0.008667663445296413,1.6332388116023117e-18
poem,661.38,2.613739521630969,1,0.0,0.0,0.011289903234227327,8.4665876897326505e-19
poet,570.3,2.2213750375685026,4,0.5,8.101349353383437e-06,0.013389279003226754,3.9260386405814807e-19
poke,703.84,1.7647307968401356,9,0.2777777777777778,2.0484877957517202e-05,0.0141501975235087,1.6106460473734625e-17
pole,577.09,2.532902848056256,13,0.23076923076923078,4.880930147780152e-05,0.015108901910893272,-6.909455180658088e-18
poll,650.91,0.9122827104766164,10,0.2222222222222222,4.628749095421996e-05,0.014471134433791461,2.1002083647206953e-17
polo,603.73,1.2499017362143359,5,0.4,9.743793032132402e-06,0.013807819735518784,-3.6484801031618977e-19
pomp,640,-0.941608539858445,3,0.3333333333333333,7.084380500429146e-07,0.010018234927504307,1.155850057714382e-18
pond,560.03,1.8453002361560848,3,0.3333333333333333,3.6488835963548684e-06,0.012725378465393627,-1.4234613311641743e-18
pony,644.67,2.0918640616783932,3,0.0,3.350565501341961e-06,0.011655110049491562,-4.809377489773027e-18
pool,581.06,3.849721979230767,6,0.4,2.660957573158964e-05,0.013631636872424628,-1.5753476980959503e-18
pick,535.03,5.29023479035468,11,0.5272727272727272,2.1311413363917175e-05,0.013710973365190567,2.5343543477180535e-17
pier,789.22,1.8794650496471605,2,0.0,8.101349353383437e-06,0.010986157182846106,1.8021603381461625e-18
pike,651.52,1.5238800240724537,8,0.25,1.1477687201635686e-05,0.013545220775489015,-4.793098835282968e-18
pile,576.84,2.578700529074361,12,0.2878787878787879,2.9468979037912284e-05,0.014632462576866059,-1.3503522701233467e-18
pill,667.36,2.469793011977952,13,0.5,2.1447066806040114e-05,0.014507695013444179,8.219522755702e-17
pimp,715.22,2.155244505095337,3,0.3333333333333333,4.112333735675294e-06,0.010817995115994582,-3.1777777196135342e-18
pine,686.71,1.824549292051046,16,0.35,3.082724274464616e-05,0.014459747012927602,-2.1328304326845323e-17
ping,716.7,1.1908875647772805,8,0.32142857142857145,7.567648831629666e-06,0.013204546208701063,-3.2626922079921164e-17
pink,568.82,3.3488509012899463,10,0.28888888888888886,1.6593105828455095e-05,0.01368850305723212,-2.792352655450297e-17
pint,648.97,1.184789984909162,9,0.2777777777777778,2.0071631730203798e-05,0.01428217511583118,-2.3930345533473727e-17
pipe,671.48,2.9647574692545606,6,0.26666666666666666,5.477673607427581e-06,0.01352727216138722,-7.398944532503837e-18
piss,672.81,3.1608228934195837,4,0.5,2.081832181256057e-06,0.011348472396262597,5.813296263638905e-18
pith,697.43,-1.6094379124341003,3,0.0,6.471874475015614e-06,0.010860192969283923,2.5307060220498715e-18
pity,633.31,3.157425862551978,2,0.0,5.120046462828042e-07,0.009822239952976479,-6.706319457082953e-19
plan,601.15,4.981755594545605,4,0.3333333333333333,4.3019656126141445e-06,0.01044059460456159,-6.068039170386828e-18
pelt,735.77,-0.06187540371808753,6,0.4666666666666667,7.2539836099261506e-06,0.014382785303716655,4.500678085155622e-18
perk,657.06,0.34358970439007686,7,0.19047619047619047,6.983371423571573e-05,0.014546743590902784,7.566795880398451e-19
